Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Military Expenditure of GDP,Population Growth,Population Density,Pop % as Refugees Abroad,Pop % as Refugee Intake
Switzerland,Western Europe,1,7.587000000000001,0.03411,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.5173799999999997,0.00665,0.0114,210.0,0%,0.00884
Iceland,Western Europe,2,7.561,0.048839999999999995,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,0.0,0.0104,3.29,0%,0.000542
Denmark,Western Europe,3,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,0.0111,0.00706,134.0,0%,0.0048
Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.4653099999999997,0.0151,0.00995,14.2,0%,0.00969
Canada,North America,5,7.4270000000000005,0.03553,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2.4517599999999997,0.0115,0.00746,3.96,0%,0.0037700000000000003
Finland,Western Europe,6,7.406000000000001,0.0314,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,0.0146,0.00329,18.0,0%,0.00232
Netherlands,Western Europe,7,7.377999999999999,0.027989999999999998,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,0.0113,0.00443,502.0,0%,0.005229999999999999
Sweden,Western Europe,8,7.364,0.03157,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2.3711900000000004,0.0107,0.0106,23.8,0%,0.0174
New Zealand,Australia and New Zealand,9,7.2860000000000005,0.033710000000000004,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2.26425,0.0115,0.0189,17.5,0%,0.00029
Australia,Australia and New Zealand,10,7.284,0.04083,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646,0.0195,0.0144,3.12,0%,0.0015400000000000001
Israel,Middle East and Northern Africa,11,7.278,0.0347,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,3.08854,0.055,0.0198,369.0,0%,0.00413
Costa Rica,Latin America and Caribbean,12,7.226,0.044539999999999996,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,3.17728,0.0,0.0109,94.9,0%,0.000746
