Country,Region,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Military Expenditure of GDP,Population Growth,Population Density,Pop % as Refugees Abroad,Pop % as Refugee Intake
Denmark,Western Europe,1,7.526,7.46,7.5920000000000005,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.73939,0.0115,0.0078,135.0,0%,0.00587
Switzerland,Western Europe,2,7.5089999999999995,7.428,7.59,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,0.006809999999999999,0.0109,212.0,0%,0.00987
Iceland,Western Europe,3,7.501,7.332999999999999,7.669,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2.83137,0.0,0.0139,3.31,0%,0.000539
Norway,Western Europe,4,7.497999999999999,7.421,7.575,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2.66465,0.0163,0.00881,14.4,0%,0.0113
Finland,Western Europe,5,7.412999999999999,7.351,7.475,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,2.82596,0.0143,0.00287,18.1,0%,0.00335
Canada,North America,6,7.404,7.335,7.473,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,2.70485,0.0116,0.0113,4.0,0%,0.00268
Netherlands,Western Europe,7,7.3389999999999995,7.284,7.394,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,0.0116,0.00532,504.0,0%,0.00599
New Zealand,Australia and New Zealand,8,7.334,7.263999999999999,7.404,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,2.47553,0.0118,0.021,17.7,0%,0.000305
Australia,Australia and New Zealand,9,7.313,7.2410000000000005,7.385,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465,0.0208,0.0156,3.16,0%,0.0017399999999999998
Sweden,Western Europe,10,7.291,7.227,7.355,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,0.0105,0.0126,24.0,0%,0.0234
Israel,Middle East and Northern Africa,11,7.267,7.199,7.335,1.33766,0.9953700000000001,0.8491700000000001,0.36432,0.08728,0.32288,3.31029,0.0548,0.0196,375.0,0%,0.00406
Austria,Western Europe,12,7.119,7.045,7.193,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865,2.6934299999999998,0.00733,0.0108,106.0,0%,0.0107
United States,North America,13,7.104,7.02,7.188,1.50796,1.04782,0.779,0.48163,0.14868,0.41076999999999997,2.72782,0.0342,0.00717,35.3,0%,0.0008449999999999999
Costa Rica,Latin America and Caribbean,14,7.087000000000001,6.999,7.175,1.06879,1.02152,0.76146,0.55225,0.10547000000000001,0.22553,3.3516800000000004,0.0,0.0106,96.0,0%,0.0008529999999999999
Germany,Western Europe,16,6.994,6.93,7.058,1.44787,1.09774,0.81487,0.53466,0.28551,0.30451999999999996,2.5093099999999997,0.0115,0.00807,236.0,0%,0.00815
Brazil,Latin America and Caribbean,17,6.952000000000001,6.875,7.029,1.08754,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998,3.5073300000000005,0.0135,0.00824,24.7,0%,4.7e-05
