Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Military Expenditure of GDP,Population Growth,Population Density,Pop % as Refugees Abroad,Pop % as Refugee Intake
1,Finland,7.632000000000001,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.20199999999999999,0.39299999999999996,0.0137,0.00133,18.2,0%,0.00404
2,Norway,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,0.34,0.0163,0.0066,14.6,0%,0.0107
3,Denmark,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,0.408,0.0129,0.00496,136.0,0%,0.006370000000000001
4,Iceland,7.495,1.3430000000000002,1.6440000000000001,0.914,0.677,0.353,0.138,0.0,0.0268,3.36,0%,0.0017
5,Switzerland,7.487,1.42,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004,0.0066,0.0073700000000000015,216.0,0%,0.0122
6,Netherlands,7.441,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295,0.0122,0.00584,506.0,0%,0.0059700000000000005
7,Canada,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004,0.0133,0.014,4.08,0%,0.0030800000000000003
8,New Zealand,7.324,1.268,1.601,0.8759999999999999,0.669,0.365,0.389,0.0129,0.00978,18.0,0%,0.00033
9,Sweden,7.314,1.355,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995,0.0103,0.0116,24.3,0%,0.0249
10,Australia,7.272,1.34,1.5730000000000002,0.91,0.647,0.361,0.302,0.0189,0.0154,3.24,0%,0.00229
11,United Kingdom,7.19,1.244,1.433,0.888,0.46399999999999997,0.262,0.08199999999999999,0.0177,0.00606,278.0,0%,0.0018899999999999998
12,Austria,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998,0.00743,0.00487,108.0,0%,0.0145
13,Costa Rica,7.072,1.01,1.459,0.8170000000000001,0.632,0.14300000000000002,0.10099999999999999,0.0,0.00995,97.9,0%,0.00091
14,Ireland,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.307,0.306,0.00289,0.0124,69.9,0%,0.00125
15,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28,0.0118,0.00301,238.0,0%,0.0128
16,Belgium,6.9270000000000005,1.324,1.483,0.894,0.583,0.188,0.24,0.0091,0.00455,379.0,0%,0.00367
17,Luxembourg,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.196,0.321,0.00566,0.0193,233.0,0%,0.00339
