,Country,2015,2016,2017,2018,2019
0,Afghanistan,0.00995,0.00957,0.00945,0.0101,0.0117
1,Albania,0.0116,0.011000000000000001,0.0111,0.0117,0.0127
2,Algeria,0.0627,0.0638,0.0601,0.0551,0.0601
3,Angola,0.0311,0.0273,0.0242,0.0181,0.0164
4,Argentina,0.0085,0.00813,0.00856,0.00746,0.00707
5,Armenia,0.0424,0.0409,0.0385,0.049,0.0495
6,Australia,0.0195,0.0208,0.02,0.0189,0.0188
7,Austria,0.00698,0.00733,0.007559999999999999,0.00743,0.00725
8,Azerbaijan,0.0546,0.0369,0.0382,0.0362,0.04
9,Bahrain,0.0463,0.0467,0.0434,0.0406,0.0369
10,Bangladesh,0.0135,0.0137,0.0124,0.0128,0.0134
11,Belarus,0.0128,0.0126,0.0116,0.012,0.0124
12,Belgium,0.00922,0.009059999999999999,0.00895,0.0091,0.009340000000000001
13,Belize,0.0112,0.012,0.0123,0.012,0.0117
14,Benin,0.011000000000000001,0.00928,0.0126,0.00869,0.006529999999999999
15,Bolivia,0.0174,0.0163,0.0154,0.0154,0.0142
16,Bosnia and Herzegovina,0.01,0.009340000000000001,0.00864,0.0087,0.00936
17,Botswana,0.0266,0.0329,0.0301,0.0268,0.0277
18,Brazil,0.0137,0.0135,0.0142,0.0151,0.0148
19,Brunei,0.0328,0.0354,0.0287,0.0264,0.0335
20,Bulgaria,0.0126,0.0126,0.0124,0.0148,0.0322
21,Burkina Faso,0.0142,0.0132,0.0153,0.0213,0.0243
22,Burundi,0.022000000000000002,0.0212,0.0187,0.0188,0.0177
23,Cambodia,0.018000000000000002,0.0191,0.021,0.0222,0.0226
24,Cameroon,0.0114,0.0119,0.0117,0.0111,0.011000000000000001
25,Canada,0.0115,0.0116,0.0135,0.0133,0.0128
26,Cape Verde,0.0055899999999999995,0.0061200000000000004,0.0053,0.00541,0.00486
27,Central African Republic,0.0169,0.0153,0.0144,0.0143,0.015
28,Chad,0.0202,0.0307,0.0224,0.0234,0.0218
29,Chile,0.019,0.0192,0.0193,0.0186,0.0182
30,China,0.0191,0.0193,0.019,0.019,0.0189
31,Colombia,0.0311,0.0307,0.0321,0.0307,0.0315
32,"Congo, Dem. Rep.",0.0128,0.00949,0.007379999999999999,0.0059700000000000005,0.00674
34,Costa Rica,0.0,0.0,0.0,0.0,0.0
35,Cote d'Ivoire,0.0172,0.0166,0.0125,0.0133,0.0114
36,Croatia,0.0178,0.0162,0.0167,0.0159,0.0167
38,Cyprus,0.0166,0.0142,0.0159,0.0178,0.0163
39,Czech Republic,0.00953,0.01,0.00969,0.0111,0.0119
