,Country,2015,2016,2017,2018,2019
0,Afghanistan,52.7,54.2,55.6,56.9,58.3
1,Albania,105.0,105.0,105.0,105.0,105.0
2,Algeria,16.7,17.0,17.4,17.7,18.1
3,Andorra,166.0,164.0,164.0,164.0,164.0
4,Angola,22.4,23.1,23.9,24.7,25.5
5,Antigua and Barbuda,213.0,215.0,217.0,219.0,221.0
6,Argentina,15.7,15.9,16.1,16.2,16.4
7,Armenia,103.0,103.0,103.0,104.0,104.0
8,Australia,3.12,3.16,3.2,3.24,3.28
9,Austria,105.0,106.0,107.0,108.0,109.0
10,Azerbaijan,116.0,118.0,119.0,120.0,122.0
11,Bahamas,37.4,37.8,38.1,38.5,38.9
12,Bahrain,1810.0,1880.0,1970.0,2070.0,2160.0
13,Bangladesh,1200.0,1210.0,1230.0,1240.0,1250.0
14,Barbados,664.0,665.0,666.0,667.0,667.0
15,Belarus,46.5,46.6,46.6,46.6,46.6
16,Belgium,373.0,375.0,377.0,379.0,381.0
17,Belize,15.8,16.2,16.5,16.8,17.1
18,Benin,93.8,96.4,99.1,102.0,105.0
19,Bhutan,19.1,19.3,19.6,19.8,20.0
20,Bolivia,10.0,10.2,10.3,10.5,10.6
21,Bosnia and Herzegovina,67.2,66.4,65.7,65.2,64.7
22,Botswana,3.74,3.81,3.89,3.98,4.06
23,Brazil,24.5,24.7,24.9,25.1,25.3
24,Brunei,78.7,79.7,80.5,81.4,82.2
25,Bulgaria,66.3,65.9,65.4,65.0,64.5
26,Burkina Faso,66.2,68.2,70.2,72.2,74.3
27,Burundi,396.0,408.0,422.0,435.0,449.0
28,Cambodia,87.9,89.3,90.7,92.1,93.4
29,Cameroon,49.3,50.6,52.0,53.3,54.7
30,Canada,3.96,4.0,4.04,4.08,4.11
31,Cape Verde,130.0,132.0,133.0,135.0,136.0
32,Central African Republic,7.21,7.28,7.38,7.49,7.62
33,Chad,11.2,11.6,11.9,12.3,12.7
34,Chile,24.2,24.5,24.8,25.2,25.5
35,China,150.0,151.0,151.0,152.0,153.0
36,Colombia,42.8,43.4,44.1,44.8,45.4
37,Comoros,418.0,428.0,437.0,447.0,457.0
38,"Congo, Dem. Rep.",33.6,34.8,35.9,37.1,38.3
39,"Congo, Rep.",14.2,14.6,15.0,15.4,15.8
40,Costa Rica,94.9,96.0,96.9,97.9,98.9
41,Cote d'Ivoire,73.0,74.9,76.8,78.8,80.9
42,Croatia,75.6,75.2,74.7,74.3,73.8
43,Cuba,106.0,106.0,107.0,107.0,106.0
44,Cyprus,126.0,127.0,128.0,129.0,130.0
45,Czech Republic,137.0,137.0,138.0,138.0,138.0
46,Denmark,134.0,135.0,135.0,136.0,136.0
47,Djibouti,39.4,40.1,40.7,41.4,42.0
48,Dominica,94.9,95.1,95.3,95.5,95.7
49,Dominican Republic,213.0,215.0,218.0,220.0,222.0
50,Ecuador,65.3,66.4,67.6,68.8,70.0
51,Egypt,92.9,94.9,96.9,98.9,101.0
52,El Salvador,305.0,307.0,308.0,310.0,311.0
53,Equatorial Guinea,41.7,43.3,45.0,46.7,48.3
54,Eritrea,33.1,33.4,33.8,34.2,34.6
55,Estonia,31.0,31.1,31.1,31.2,31.3
56,Eswatini,64.2,64.8,65.4,66.1,66.8
57,Ethiopia,101.0,104.0,106.0,109.0,112.0
58,Fiji,47.5,47.8,48.0,48.4,48.7
59,Finland,18.0,18.1,18.1,18.2,18.2
60,France,118.0,118.0,118.0,119.0,119.0
61,Gabon,7.56,7.79,8.01,8.22,8.43
62,Gambia,206.0,212.0,219.0,225.0,232.0
63,Georgia,57.9,57.8,57.7,57.6,57.5
64,Germany,235.0,236.0,237.0,238.0,240.0
65,Ghana,122.0,125.0,128.0,131.0,134.0
66,Greece,82.7,82.4,82.0,81.6,81.3
67,Grenada,322.0,324.0,326.0,328.0,329.0
68,Guatemala,152.0,155.0,158.0,161.0,164.0
69,Guinea,46.5,47.8,49.1,50.5,52.0
70,Guinea-Bissau,61.8,63.4,65.0,66.7,68.3
71,Guyana,3.9,3.92,3.94,3.96,3.98
72,Haiti,388.0,393.0,398.0,404.0,409.0
73,Holy See,1800.0,1800.0,1810.0,1840.0,1850.0
74,Honduras,81.4,82.9,84.3,85.7,87.1
75,Hungary,108.0,108.0,107.0,107.0,107.0
76,Iceland,3.29,3.31,3.34,3.36,3.38
77,India,441.0,445.0,450.0,455.0,460.0
78,Indonesia,143.0,144.0,146.0,148.0,149.0
79,Iran,48.2,48.9,49.5,50.2,50.9
80,Iraq,81.9,84.3,86.5,88.5,90.5
81,Ireland,67.5,68.2,69.0,69.9,70.9
82,Israel,369.0,375.0,381.0,387.0,394.0
83,Italy,206.0,206.0,206.0,206.0,206.0
84,Jamaica,267.0,268.0,270.0,271.0,272.0
85,Japan,351.0,350.0,350.0,349.0,348.0
86,Jordan,104.0,108.0,110.0,112.0,114.0
87,Kazakhstan,6.51,6.6,6.7,6.79,6.87
88,Kenya,84.1,86.2,88.2,90.3,92.4
89,Kiribati,137.0,139.0,141.0,143.0,145.0
90,Kuwait,215.0,222.0,228.0,232.0,236.0
91,Kyrgyz Republic,31.1,31.7,32.3,32.9,33.5
92,Lao,29.2,29.7,30.1,30.6,31.1
93,Latvia,32.1,31.7,31.4,31.0,30.7
94,Lebanon,639.0,656.0,667.0,671.0,670.0
95,Lesotho,67.8,68.3,68.9,69.4,70.0
96,Liberia,46.4,47.6,48.8,50.0,51.3
97,Libya,3.65,3.69,3.74,3.8,3.85
98,Liechtenstein,234.0,235.0,236.0,237.0,238.0
99,Lithuania,46.8,46.1,45.4,44.7,44.0
100,Luxembourg,219.0,224.0,229.0,233.0,238.0
101,Madagascar,41.7,42.8,44.0,45.1,46.4
102,Malawi,178.0,182.0,187.0,192.0,198.0
103,Malaysia,92.1,93.4,94.7,96.0,97.2
104,Maldives,1520.0,1590.0,1650.0,1720.0,1770.0
105,Mali,14.3,14.7,15.2,15.6,16.1
106,Malta,1350.0,1360.0,1370.0,1370.0,1380.0
107,Marshall Islands,319.0,321.0,323.0,325.0,327.0
108,Mauritania,3.93,4.04,4.16,4.27,4.39
109,Mauritius,620.0,622.0,623.0,624.0,625.0
110,Mexico,62.7,63.4,64.2,64.9,65.6
111,"Micronesia, Fed. Sts.",156.0,157.0,159.0,161.0,163.0
112,Moldova,124.0,124.0,124.0,123.0,123.0
113,Monaco,25300.0,25600.0,25800.0,26000.0,26200.0
114,Mongolia,1.93,1.97,2.0,2.04,2.08
115,Montenegro,46.6,46.6,46.7,46.7,46.7
116,Morocco,77.7,78.7,79.7,80.7,81.7
117,Mozambique,34.4,35.4,36.4,37.5,38.6
118,Myanmar,80.6,81.2,81.7,82.2,82.7
119,Namibia,2.81,2.86,2.92,2.97,3.03
120,Nauru,519.0,524.0,529.0,534.0,538.0
121,Nepal,188.0,190.0,193.0,196.0,200.0
122,Netherlands,502.0,504.0,505.0,506.0,507.0
123,New Zealand,17.5,17.7,17.9,18.0,18.2
124,Nicaragua,51.7,52.4,53.1,53.7,54.4
125,Niger,15.8,16.4,17.1,17.7,18.4
126,Nigeria,199.0,204.0,210.0,215.0,221.0
127,North Korea,209.0,210.0,211.0,212.0,213.0
128,North Macedonia,82.4,82.5,82.6,82.6,82.6
129,Norway,14.2,14.4,14.5,14.6,14.7
130,Oman,13.8,14.5,15.1,15.6,16.1
131,Pakistan,259.0,264.0,270.0,275.0,281.0
132,Palau,38.4,38.5,38.7,38.9,39.1
133,Palestine,752.0,770.0,789.0,808.0,827.0
134,Panama,53.4,54.3,55.2,56.2,57.1
135,Papua New Guinea,17.9,18.3,18.6,19.0,19.4
136,Paraguay,16.8,17.1,17.3,17.5,17.7
137,Peru,23.8,24.2,24.6,25.0,25.4
138,Philippines,342.0,348.0,353.0,358.0,363.0
139,Poland,124.0,124.0,124.0,124.0,124.0
140,Portugal,113.0,113.0,112.0,112.0,112.0
141,Qatar,221.0,229.0,235.0,240.0,244.0
142,Romania,86.6,86.0,85.4,84.7,84.1
143,Russia,8.85,8.87,8.89,8.9,8.91
144,Rwanda,461.0,473.0,486.0,499.0,512.0
145,Samoa,68.4,68.7,69.0,69.3,69.6
146,San Marino,555.0,558.0,561.0,563.0,564.0
147,Sao Tome and Principe,208.0,212.0,216.0,220.0,224.0
148,Saudi Arabia,14.8,15.1,15.4,15.7,15.9
149,Senegal,75.7,77.9,80.1,82.3,84.6
150,Serbia,101.0,101.0,101.0,101.0,100.0
151,Seychelles,206.0,208.0,210.0,211.0,212.0
152,Sierra Leone,99.4,102.0,104.0,106.0,108.0
153,Singapore,7990.0,8080.0,8150.0,8230.0,8290.0
154,Slovak Republic,113.0,113.0,113.0,113.0,113.0
155,Slovenia,103.0,103.0,103.0,103.0,103.0
156,Solomon Islands,21.5,22.1,22.7,23.3,23.9
157,Somalia,22.0,22.6,23.3,23.9,24.6
158,South Africa,45.7,46.3,47.0,47.6,48.3
159,South Korea,523.0,524.0,526.0,526.0,527.0
160,South Sudan,17.5,17.7,17.9,18.0,18.1
161,Spain,93.6,93.5,93.5,93.6,93.7
162,Sri Lanka,333.0,335.0,337.0,339.0,340.0
163,St. Kitts and Nevis,197.0,199.0,200.0,202.0,203.0
164,St. Lucia,294.0,295.0,297.0,298.0,300.0
165,St. Vincent and the Grenadines,280.0,281.0,282.0,283.0,284.0
166,Sudan,22.0,22.6,23.1,23.7,24.3
167,Suriname,3.58,3.62,3.66,3.69,3.73
168,Sweden,23.8,24.0,24.1,24.3,24.5
169,Switzerland,210.0,212.0,214.0,216.0,217.0
170,Syria,98.0,95.1,93.1,92.3,93.0
171,Tajikistan,60.4,61.9,63.4,65.0,66.6
172,Tanzania,58.1,59.9,61.7,63.6,65.5
173,Thailand,134.0,135.0,135.0,136.0,136.0
174,Timor-Leste,80.5,82.0,83.6,85.3,87.0
175,Togo,135.0,138.0,142.0,145.0,149.0
176,Tonga,140.0,140.0,142.0,143.0,145.0
177,Trinidad and Tobago,267.0,269.0,270.0,271.0,272.0
178,Tunisia,72.0,72.8,73.6,74.4,75.3
179,Turkey,102.0,104.0,105.0,107.0,108.0
180,Turkmenistan,11.8,12.0,12.3,12.5,12.6
181,Tuvalu,370.0,374.0,379.0,384.0,389.0
182,Uganda,191.0,198.0,206.0,214.0,222.0
183,Ukraine,77.5,77.2,76.8,76.4,75.9
184,United Arab Emirates,111.0,112.0,113.0,115.0,117.0
185,United Kingdom,272.0,274.0,276.0,278.0,279.0
186,United States,35.1,35.3,35.5,35.8,36.0
187,Uruguay,19.5,19.6,19.6,19.7,19.8
188,Uzbekistan,72.7,73.9,75.1,76.3,77.5
189,Vanuatu,22.2,22.8,23.4,24.0,24.6
190,Venezuela,34.1,33.8,33.3,32.7,32.3
191,Vietnam,299.0,302.0,305.0,308.0,311.0
192,Yemen,50.2,51.5,52.7,54.0,55.2
193,Zambia,21.4,22.0,22.7,23.3,24.0
194,Zimbabwe,35.7,36.3,36.8,37.3,37.9
