,Country,2015,2016,2017,2018,2019
0,Afghanistan,0.0308,0.0278,0.0255,0.0238,0.0231
1,Albania,-0.0029100000000000003,-0.0016,-0.0009199999999999999,-0.00247,-0.00426
2,Algeria,0.0205,0.0205,0.0204,0.0201,0.0193
3,Andorra,-0.0153,-0.00919,-0.0038399999999999997,6.49e-05,0.00176
4,Angola,0.0344,0.0338,0.0332,0.0328,0.0324
5,Antigua and Barbuda,0.0108,0.0102,0.009470000000000001,0.00897,0.0086
6,Argentina,0.0108,0.0106,0.0104,0.0102,0.00993
7,Armenia,0.00451,0.00361,0.00295,0.00236,0.00202
8,Australia,0.0144,0.0156,0.0168,0.0154,0.0152
9,Austria,0.0112,0.0108,0.00695,0.00487,0.00413
10,Azerbaijan,0.0119,0.0112,0.00981,0.00866,0.00837
11,Bahamas,0.009590000000000001,0.009909999999999999,0.0101,0.0101,0.009909999999999999
12,Bahrain,0.0264,0.0386,0.0468,0.0492,0.0447
13,Bangladesh,0.0112,0.0109,0.0107,0.0105,0.0104
14,Barbados,0.00175,0.00165,0.0015300000000000001,0.0014199999999999998,0.00134
15,Belarus,0.00159,0.00126,-0.000344,-0.00156,-0.00176
16,Belgium,0.00579,0.00506,0.00385,0.00455,0.00498
17,Belize,0.0212,0.0205,0.0198,0.0192,0.0188
18,Benin,0.0277,0.0276,0.0275,0.0273,0.0272
19,Bhutan,0.0122,0.0121,0.012,0.0118,0.0115
20,Bolivia,0.0151,0.0148,0.0145,0.0142,0.013999999999999999
21,Bosnia and Herzegovina,-0.0153,-0.0126,-0.0103,-0.00827,-0.00692
22,Botswana,0.0153,0.0183,0.0207,0.022000000000000002,0.0218
23,Brazil,0.00839,0.00824,0.00807,0.00784,0.007520000000000001
24,Brunei,0.0125,0.0117,0.0111,0.0105,0.01
25,Bulgaria,-0.006379999999999999,-0.00701,-0.0073,-0.00722,-0.00704
26,Burkina Faso,0.0294,0.0292,0.0289,0.0287,0.0284
27,Burundi,0.0316,0.0318,0.0318,0.0317,0.0313
28,Cambodia,0.016,0.0157,0.0153,0.0149,0.0145
29,Cameroon,0.0268,0.0266,0.0264,0.0261,0.0258
30,Canada,0.00746,0.0113,0.0119,0.013999999999999999,0.0142
31,Cape Verde,0.0124,0.0121,0.0119,0.0116,0.0113
32,Central African Republic,0.00647,0.009859999999999999,0.0128,0.0152,0.0167
33,Chad,0.0322,0.0314,0.0308,0.0302,0.0299
34,Chile,0.0118,0.0133,0.0143,0.0139,0.0118
35,China,0.0050799999999999994,0.00541,0.0055899999999999995,0.00456,0.0035700000000000003
36,Colombia,0.0117,0.0136,0.015,0.0152,0.0138
37,Comoros,0.0235,0.0231,0.0227,0.0224,0.0221
38,"Congo, Dem. Rep.",0.033,0.0328,0.0326,0.0323,0.0319
39,"Congo, Rep.",0.0248,0.0254,0.0257,0.0258,0.0256
