country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.000004,0.0000029,0.00414,0.00203,0.00112,0.00108,0.000996,0.0000003,0,0,0,0.0000003,0.0000001,0.0000009,0.0000012,0.0000012,0.0000013,0.0000015,0.0000013,0.0000013,0.000221,0.0000999,0.00052,0.000523,0.009,0.00748,0.00169,0.00209,0.00194,0.0019
Albania,0,0,0.000924,0.000939,0.000953,0.00152,0.00159,0.0000097,0.00718,0.00126,0.000167,0.0000933,0.0000054,0.0000083,0.0000164,0.0000181,0.0000183,0.0000254,0.0000216,0.0000235,0.0000258,0.000028,0.0000295,0.000032,0.0000359,0.000036,0.0000478,0.0000309,0.0000454,0.0000444
Algeria,0.00657,0.00641,0.00811,0.00793,0.00776,0.00669,0.0065,0.00574,0.00547,0.0054,0.00547,0.00539,0.00531,0.00524,0.00517,0.00284,0.0028,0.00276,0.00271,0.00266,0.00262,0.00257,0.00252,0.00247,0.00242,0.00237,0.00232,0.00228,0.00223,0.00229
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0.000975,0.0009,0.000869,0.000832,0.000791,0.00078,0.000651,0.00063,0.00069,0.000824,0.000737,0.000723,0.000699,0.000738,0.000745,0.00072,0.00065,0.000577,0.000586,0.000654,0.000649,0.00067,0.000932,0.000914,0.000574,0.000558,0.000539,0.00138,0.00129,0.000811
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016,0.0000423,0,0.0000104,0.0000206
Argentina,0.00036,0.000348,0.000343,0.000343,0.000346,0.000296,0.000296,0.000295,0.0000629,0.0000643,0.000065,0.0000643,0.0000647,0.0000694,0.0000758,0.000079,0.0000804,0.0000822,0.000071,0.0000798,0.0000801,0.0000813,0.0000835,0.0000797,0.000082,0.0000745,0.0000757,0.0000748,0.0000782,0.0000867
Armenia,0,0,0.0871,0.0993,0.0926,0.0681,0.0691,0.0699,0.0997,0.0959,0.0914,0.0866,0.0816,0.0793,0.0784,0.0736,0.0384,0.00156,0.00136,0.00125,0.00115,0.00101,0.000989,0.00474,0.00606,0.0066,0.00609,0.0061,0.00609,0.00608
Australia,0.00577,0.00309,0.00302,0.00304,0.00323,0.00345,0.0037,0.00359,0.00375,0.00346,0.00317,0.00302,0.00306,0.00287,0.00319,0.00322,0.00336,0.00106,0.000981,0.00104,0.000984,0.00104,0.00131,0.00148,0.00151,0.00154,0.00174,0.00197,0.00229,0.00305
Austria,0.00452,0.00444,0.00796,0.00731,0.00512,0.0043,0.0111,0.0105,0.00999,0.0102,0.00192,0.00178,0.00174,0.00197,0.00217,0.00257,0.00308,0.0037,0.0045,0.00465,0.00507,0.00557,0.00608,0.0065,0.00705,0.00832,0.0107,0.0131,0.0145,0.0152
