,Temperature,Locations,Humidity,Latitude,Longitude,Wind Speed,Cloudiness
0,46.69,"highland park, us",36,42.41,-83.1,19.46,75
1,55.4,"puerto montt, cl",82,-41.47,-72.94,9.17,90
2,56.46,"west memphis, us",26,35.15,-90.18,3.36,1
3,47.03,"stanita, ro",76,47.02,27.1,2.24,0
4,50.18,"turtkul, uz",39,41.55,61.0,7.16,0
5,75.2,"aumbay, ph",94,7.1,125.78,3.36,75
6,50.83,"saedinenie, bg",76,42.27,24.55,4.7,75
7,81.68,"guaiuba, br",74,-4.03,-38.63,14.99,0
8,57.99,"favara, it",100,37.32,13.65,1.99,0
9,81.81,"chahuites, mx",58,16.28,-94.18,19.28,61
10,43.52,"sasovo, ru",85,54.35,41.92,6.53,84
11,46.18,"dubove, ua",93,48.17,23.89,4.7,100
12,44.96,"motca, ro",94,47.25,26.62,1.74,100
13,68.0,"deir hanna, il",78,32.86,35.36,0.63,1
14,50.97,"richmond, us",23,37.55,-77.46,12.75,1
15,74.61,"baleshwar, in",78,21.49,86.93,6.08,0
16,45.12,"tomra, no",75,62.58,6.93,9.17,75
17,43.39,"kresttsy, ru",88,58.25,32.52,9.46,100
18,53.53,"zevio, it",100,45.37,11.13,2.86,75
19,42.93,"swords, ie",75,53.46,-6.22,14.99,40
